Mission_Name,Agriculture,Environmental_Science,Biology_Wildlife,Public_Safety,Industrial_Infrastructure,Media,Blue_List_UAS,Airspace_Authorization,Terrain_Equipment,Quantity
HARVEST WIND,5,0,0,0,4,3,1,0,0,1
FLOOD SURVEY,0,5,0,4,0,3,0,1,0,1
WILDLIFE CORRIDOR,4,0,3,0,0,5,0,0,1,1
PIPELINE PATROL,0,0,0,4,5,3,1,0,0,1
WILDFIRE WATCH,0,4,4,4,0,0,0,1,0,1
URBAN GRID SCAN,0,3,0,4,5,0,0,0,1,1
COASTAL CENSUS,0,4,5,0,0,3,1,0,0,1
Example 8,4,0,5,0,0,3,0,1,0,1
Example 9,3,5,0,0,4,0,0,0,1,1
Example 10,4,0,3,5,0,0,1,0,0,1
